DataPtNum,Frequency,Vin(FuncGen),Vout(HiPass),Vout(LoPass),phase,Gain HiPass (|Vout/Vin|),Gain LoPass (|Vout/Vin|)
1,40,1,0.72,0.014,-1.44,0.720,0.014
2,45,1,0.72,0.014,-1.622,0.720,0.014
3,50,1,0.72,0.015,-1.8,0.720,0.015
4,55,1,0.72,0.015,-1.978,0.720,0.015
5,60,1,0.72,0.016,-2.143,0.720,0.016
6,65,1,0.72,0.017,-7.013,0.720,0.017
7,70,1,0.72,0.015,-7.606,0.720,0.015
8,75,1,0.72,0.015,-4.06,0.720,0.015
9,80,1,0.72,0.014,-4.32,0.720,0.014
10,85,1,0.72,0.012,-1.525,0.720,0.012
11,90,1,0.72,0.012,-1.622,0.720,0.012
12,95,1.01,0.72,0.012,-1.7,0.713,0.012
13,100,1.01,0.72,0.014,-1.8,0.713,0.014
14,150,1.01,0.72,0.015,-9.73,0.713,0.015
15,200,1.01,0.72,0.017,-10.08,0.713,0.017
16,250,1.01,0.72,0.017,-9,0.713,0.017
17,300,1.01,0.72,0.021,-14.1,0.713,0.021
18,350,1.02,0.72,0.027,-16.36,0.706,0.026
19,400,1.03,0.72,0.033,-21.6,0.699,0.032
20,450,1.05,0.72,0.04,-23.51,0.686,0.038
21,500,1.05,0.732,0.051,-24.3,0.697,0.049
22,550,1.06,0.732,0.06,-28.68,0.691,0.057
23,600,1.08,0.732,0.071,-31.44,0.678,0.066
24,650,1.09,0.736,0.082,-31.56,0.675,0.075
25,700,1.1,0.74,0.096,-31.47,0.673,0.087
26,750,1.12,0.74,0.11,-38.95,0.661,0.098
27,800,1.14,0.744,0.125,-38.88,0.653,0.110
28,850,1.16,0.748,0.141,-41.19,0.645,0.122
29,900,1.18,0.748,0.158,-43.78,0.634,0.134
30,950,1.2,0.748,0.178,-46.28,0.623,0.148
31,1000,1.22,0.752,0.196,-48.6,0.616,0.161
32,1500,1.41,0.732,0.424,-67.91,0.519,0.301
33,2000,1.46,0.616,0.632,-87.84,0.422,0.433
34,2500,1.39,0.46,0.736,-99,0.331,0.529
35,3000,1.28,0.34,0.764,-110.6,0.266,0.597
36,3500,1.18,0.25,0.772,-117.1,0.212,0.654
37,4000,1.12,0.194,0.776,-125.3,0.173,0.693
38,4500,1.06,0.152,0.776,-128.1,0.143,0.732
39,5000,1.03,0.124,0.76,-138.6,0.120,0.738
40,5500,1.02,0.102,0.752,-135,0.100,0.737
41,6000,0.992,0.085,0.752,-141.2,0.086,0.758
42,6500,0.976,0.072,0.752,-141.4,0.074,0.770
43,7000,0.968,0.062,0.744,-144.1,0.064,0.769
44,7500,0.952,0.055,0.744,-147.4,0.058,0.782
45,8000,0.944,0.048,0.744,-145.4,0.051,0.788
46,8500,0.944,0.044,0.744,-144.9,0.047,0.788
47,9000,0.936,0.039,0.744,-150.8,0.042,0.795
48,9500,0.928,0.036,0.74,-141.7,0.039,0.797
49,10000,0.92,0.036,0.736,-142.3,0.039,0.800
