DataPtNum,Frequency (Hz),Vin,Vout,Gain (|Vout/Vin|)
1,10,1.36,0.592,0.435294118
2,20,1.36,0.592,0.435294118
3,30,1.36,0.592,0.435294118
4,40,1.36,0.592,0.435294118
5,50,1.36,0.592,0.435294118
6,60,1.36,0.592,0.435294118
7,70,1.36,0.592,0.435294118
8,80,1.36,0.592,0.435294118
9,90,1.36,0.592,0.435294118
10,100,1.36,0.592,0.435294118
11,200,1.36,0.592,0.435294118
12,300,1.33,0.604,0.454135338
13,400,1.34,0.612,0.456716418
14,500,1.35,0.624,0.462222222
15,600,1.36,0.636,0.467647059
16,700,1.37,0.656,0.478832117
17,800,1.39,0.684,0.492086331
18,900,1.42,0.728,0.512676056
19,1000,1.47,0.796,0.541496599
20,2000,1.44,0.744,0.516666667
21,3000,1.36,0.632,0.464705882
22,4000,1.37,0.628,0.458394161
23,5000,1.37,0.636,0.464233577
24,6000,1.37,0.652,0.475912409
25,7000,1.39,0.668,0.48057554
26,8000,1.41,0.684,0.485106383
27,9000,1.42,0.708,0.498591549
28,10000,1.44,0.728,0.505555556
