DataPtNum,Frequency (Hz),Vin ,Vout ,Gain (|Vout/Vin|)
1,10,1.52,0.78,0.513
2,20,1.64,0.94,0.573
3,30,1.92,1.28,0.667
4,40,2.6,2.08,0.800
5,50,2.92,2.24,0.767
6,60,2.44,1.68,0.689
7,70,2.2,1.36,0.618
8,80,1.95,1.2,0.615
9,90,1.76,1.04,0.591
10,100,1.76,0.96,0.545
11,200,1.57,0.88,0.561
12,300,1.57,0.88,0.561
13,400,1.71,0.88,0.515
14,500,1.71,0.88,0.515
15,600,1.71,0.96,0.561
16,700,1.71,1.04,0.608
17,800,1.8,1.04,0.578
18,900,1.8,1.04,0.578
19,1000,1.8,1.04,0.578
20,2000,1.89,1.36,0.720
21,3000,2.25,1.52,0.676
22,4000,2.34,1.68,0.718
23,5000,2.43,1.84,0.757
24,6000,2.52,1.92,0.762
25,7000,2.61,2,0.766
26,8000,2.61,2.16,0.828
27,9000,2.79,2.16,0.774
28,10000,2.79,2.32,0.832
