DataPtNum,Frequency,Vin(V),Vout(V),phase,Gain (|Vout/Vin|)
1,40,10,0.03,154,0.003
2,45,10,0.03,86.7,0.003
3,50,10,0.032,168,0.003
4,55,10,0.034,92.9,0.003
5,60,10,0.035,168,0.004
6,65,10,0.034,115,0.003
7,70,10,0.038,115,0.004
8,75,10,0.04,101,0.004
9,80,10,0.043,121,0.004
10,85,10,0.048,120,0.005
11,90,10,0.048,118,0.005
12,95,10,0.051,128,0.005
13,100,9.8,0.053,123,0.005
14,150,9.2,0.08,128,0.009
15,200,8.8,0.1,121,0.011
16,250,8,0.14,130,0.018
17,300,7.6,0.172,136,0.023
18,350,6.6,0.2,139,0.030
19,400,6.2,0.24,134,0.039
20,450,5.8,0.27,132,0.047
21,500,5.4,0.296,133,0.055
22,550,5,0.32,140,0.064
23,600,4.48,0.344,136,0.077
24,650,4.24,0.376,124,0.089
25,700,3.92,0.4,135,0.102
26,750,3.68,0.424,147,0.115
27,800,3.44,0.44,122,0.128
28,850,3.28,0.464,121,0.141
29,900,3.12,0.488,121,0.156
30,950,2.96,0.5,125,0.169
31,1000,2.8,0.512,111,0.183
32,1500,1.84,0.616,99,0.335
33,2000,1.52,0.664,75.6,0.437
34,2500,1.36,0.696,76.5,0.512
35,3000,1.2,0.712,47.6,0.593
36,3500,1.2,0.71,57.9,0.592
37,4000,1.04,0.728,36,0.700
38,4500,1.04,0.73,57.3,0.702
39,5000,1.04,0.736,27,0.708
40,5500,1.04,0.704,47.4,0.677
41,6000,1.04,0.744,11.3,0.715
42,6500,1.04,0.744,36,0.715
43,7000,1.04,0.744,19,0.715
44,7500,1.04,0.744,20,0.715
45,8000,1.04,0.744,15.8,0.715
46,8500,1.04,0.744,13.7,0.715
47,9000,1.04,0.744,15,0.715
48,9500,1.04,0.744,8.5,0.715
49,10000,1.04,0.744,12.6,0.715
