DataPtNum,Frequency,Vin(V),Vout(V),phase,Gain (|Vout/Vin|)
1,40,10.2,0.023,108,0.002
2,45,10.2,0.023,108,0.002
3,50,10.2,0.028,158,0.003
4,55,10.2,0.03,94,0.003
5,60,10.1,0.03,115,0.003
6,65,10,0.033,124,0.003
7,70,10,0.038,115,0.004
8,75,10,0.04,125,0.004
9,80,10,0.04,121,0.004
10,85,9.84,0.044,138,0.004
11,90,9.92,0.045,118,0.005
12,95,9.84,0.05,125,0.005
13,100,9.84,0.05,126,0.005
14,150,9.2,0.07,124,0.008
15,200,8.56,0.1,136,0.012
16,250,7.92,0.13,130,0.016
17,300,7.28,0.156,136,0.021
18,350,6.72,0.18,142,0.027
19,400,6.16,0.21,134,0.034
20,450,5.68,0.23,140,0.040
21,500,5.28,0.26,147,0.049
22,550,4.88,0.28,137,0.057
23,600,4.56,0.3,136,0.066
24,650,4.24,0.324,137,0.076
25,700,4,0.34,138,0.085
26,750,3.7,0.36,147,0.097
27,800,3.52,0.37,134,0.105
28,850,3.28,0.396,130.3,0.121
29,900,3.12,0.416,135,0.133
30,950,2.96,0.436,140,0.147
31,1000,2.72,0.46,136,0.169
32,1500,1.6,1.02,124,0.638
33,2000,1.6,0.82,55.1,0.513
34,2500,1.44,0.7,65.8,0.486
35,3000,1.2,0.7,60,0.583
36,3500,1.12,0.7,58,0.625
37,4000,1.04,0.7,50,0.673
38,4500,0.96,0.68,65.5,0.708
39,5000,0.88,0.64,45,0.727
40,5500,0.84,0.648,30,0.771
41,6000,0.82,0.65,56.2,0.793
42,6500,0.8,0.664,12,0.830
43,7000,0.8,0.664,64.2,0.830
44,7500,0.8,0.68,41.5,0.850
45,8000,0.8,0.68,13.8,0.850
46,8500,0.8,0.96,15,1.200
47,9000,0.8,0.7,16.3,0.875
48,9500,0.82,0.72,18,0.878
49,10000,0.82,0.728,18,0.888
