DataPtNum,Frequency,Vin(V),Vout(V),phase,Gain(|Vout/Vin|)
1,10,0.952,0.744,1.8,0.782
2,15,0.952,0.744,1.78,0.782
3,20,0.952,0.744,1.44,0.782
4,25,0.96,0.744,1.8,0.775
5,30,0.96,0.76,3.23,0.792
6,35,0.96,0.76,3.78,0.792
7,40,0.96,0.76,4.32,0.792
8,45,0.96,0.76,-1.62,0.792
9,50,0.96,0.76,-1.8,0.792
10,55,0.968,0.768,-1.98,0.793
11,60,0.9968,0.768,-2.17,0.770
12,65,0.976,0.768,-7.01,0.787
13,70,0.976,0.768,-7.5,0.787
14,75,0.976,0.768,-4.06,0.787
15,80,0.976,0.768,-8.7,0.787
16,85,0.976,0.768,-3.05,0.787
17,90,0.976,0.768,-3.27,0.787
18,95,0.968,0.768,-3.4,0.793
19,100,0.968,0.768,-1.8,0.793
20,150,0.968,0.76,-8.06,0.785
21,200,0.976,0.76,-10.8,0.779
22,250,0.984,0.76,-11.7,0.772
23,300,0.992,0.776,-10.8,0.782
24,350,0.992,0.768,-16.4,0.774
25,400,0.992,0.768,-18.7,0.774
26,450,1,0.76,-21.1,0.760
27,500,1.01,0.76,-19.8,0.752
28,550,1.01,0.76,-29.7,0.752
29,600,1.02,0.76,-30,0.745
30,650,1.02,0.76,-33.2,0.745
31,700,1.03,0.76,-25.7,0.738
32,750,1.04,0.752,-37.1,0.723
33,800,1.05,0.752,-39.4,0.716
34,850,1.05,0.752,-42,0.716
35,900,1.06,0.752,-41.8,0.709
36,950,1.08,0.744,-51.9,0.689
37,1000,1.09,0.744,-50.4,0.683
38,1500,1.24,0.72,-47.7,0.581
39,2000,1.48,0.696,-82.1,0.470
40,2500,1.74,0.656,-90,0.377
41,3000,2.02,0.616,-110.6,0.305
42,3500,2.34,0.584,-114.1,0.250
43,4000,2.66,0.552,-124.8,0.208
44,4500,3,0.512,-121.1,0.171
45,5000,3.36,0.48,-133.2,0.143
46,5500,3.68,0.45,-132,0.122
47,6000,4,0.424,-141,0.106
48,6500,4.28,0.376,-133.2,0.088
49,7000,4.56,0.36,-142.5,0.079
50,7500,4.84,0.328,-137,0.068
51,8000,5.08,0.312,-145.7,0.061
52,8500,5.32,0.296,-143.4,0.056
53,9000,5.56,0.28,-151.1,0.050
54,9500,5.8,0.264,-139.2,0.046
55,10000,6,0.248,-154.8,0.041
