DataPtNum,Frequency,Vin(V),Vout(V),phase,Gain(|Vout/Vin|)
1,10,1,0.041,3.75,0.041
2,15,1.06,0.041,5.45,0.039
3,20,1.16,0.041,7.66,0.035
4,25,1.32,0.038,9,0.029
5,30,1.62,0.4,32.1,0.247
6,35,1.98,0.038,28.7,0.019
7,40,2.42,0.034,16.4,0.014
8,45,2.54,0.038,10,0.015
9,50,2.34,0.036,25.2,0.015
10,55,2.04,0.038,27.1,0.019
11,60,1.78,0.038,38.6,0.021
12,65,1.58,0.04,41.5,0.025
13,70,1.44,0.04,45,0.028
14,75,1.34,0.04,37,0.030
15,80,1.28,0.04,25.1,0.031
16,85,1.22,0.04,27,0.033
17,90,1.16,0.04,35.1,0.034
18,95,1.12,0.04,31.2,0.036
19,100,1.12,0.04,47.7,0.036
20,150,1.02,0.038,15.9,0.037
21,200,1.02,0.04,7.2,0.039
22,250,1.02,0.048,9.3,0.047
23,300,1.04,0.046,11.3,0.044
24,350,1.08,0.041,19.3,0.038
25,400,1.12,0.045,21.6,0.040
26,450,1.16,0.042,8.19,0.036
27,500,1.2,0.04,9,0.033
28,550,1.2,0.04,30,0.033
29,600,1.25,0.04,31.7,0.032
30,650,1.3,0.04,12,0.031
31,700,1.33,0.04,12.8,0.030
32,750,1.37,0.039,41.5,0.028
33,800,1.36,0.04,45,0.029
34,850,1.37,0.039,15,0.028
35,900,1.39,0.038,16.4,0.027
36,950,1.42,0.037,49.1,0.026
37,1000,1.47,0.037,49.1,0.025
38,1500,1.72,0.038,37.1,0.022
39,2000,1.68,0.035,50.4,0.021
40,2500,1.56,0.029,45,0.019
41,3000,1.64,0.029,78.8,0.018
42,3500,1.92,0.027,60,0.014
43,4000,2.28,0.026,96.9,0.011
44,4500,2.68,0.025,81.8,0.009
45,5000,3.08,0.024,90,0.008
46,5500,3.48,0.025,74.4,0.007
47,6000,3.84,0.025,87.9,0.007
48,6500,4.2,0.025,125,0.006
49,7000,4.48,0.024,92.4,0.005
50,7500,4.8,0.022,70.9,0.005
51,8000,5.04,0.024,78.8,0.005
52,8500,5.32,0.022,68.3,0.004
53,9000,5.56,0.02,83.6,0.004
54,9500,5.8,0.022,55.4,0.004
55,10000,6,0.022,82.5,0.004
