trial,starting_angle,time,length(m),oscillations,period,period_squared,period_error,period_squared_error,T_small_angle,T_squared_small_angle,T_verlet,T_squared_verlet
1,10,16.4,0.6824,10,1.64,2.6895999999999995,0.01,0.032799999999999996,1.6571616478596627,2.746184727136953,1.6602999999998336,2.7565960899994475
2,20,16.6,0.6824,10,1.6600000000000001,2.7556000000000003,0.01,0.0332,1.6571616478596627,2.746184727136953,1.6698999999998456,2.7885660099994842
3,25,16.5,0.6824,10,1.65,2.7224999999999997,0.01,0.033,1.6571616478596627,2.746184727136953,1.677099999999855,2.8126644099995137
4,30,16.8,0.6824,10,1.6800000000000002,2.8224000000000005,0.01,0.033600000000000005,1.6571616478596627,2.746184727136953,1.6859999999998667,2.8425959999995505
5,40,17.1,0.6824,10,1.7100000000000002,2.9241000000000006,0.01,0.0342,1.6571616478596627,2.746184727136953,1.7090999999998964,2.921022809999646
6,50,17.2,0.6824,10,1.72,2.9583999999999997,0.01,0.0344,1.6571616478596627,2.746184727136953,1.7396999999999359,3.0265560899997768
7,55,17.5,0.6824,10,1.75,3.0625,0.01,0.035,1.6571616478596627,2.746184727136953,1.7579999999999596,3.090563999999858
8,60,17.6,0.6824,10,1.7600000000000002,3.097600000000001,0.01,0.0352,1.6571616478596627,2.746184727136953,1.7784499999999859,3.16288440249995
9,70,18.4,0.6824,10,1.8399999999999999,3.3855999999999993,0.01,0.0368,1.6571616478596627,2.746184727136953,1.8264500000000474,3.3359196025001734
10,80,18.9,0.6824,10,1.89,3.5721,0.01,0.0378,1.6571616478596627,2.746184727136953,1.885000000000123,3.553225000000464
