Length_m,Period_s,Period_squared_s2,Uncertainty_T2,Fitted_T2,Residuals
0.6824,1.64,2.6895999999999995,0.032799999999999996,2.741580439439319,-0.051980439439319515
0.7774,1.75,3.0625,0.035,3.121808887283594,-0.05930888728359385
0.9524,1.9600000000000002,3.8416000000000006,0.039200000000000006,3.8222297122598903,0.019370287740110292
0.2474,1.01,1.0201,0.0202,1.0005343887839542,0.01956561121604583
0.3574,1.23,1.5129,0.0246,1.4407989073404832,0.0721010926595167
0.4074,1.3,1.6900000000000002,0.026000000000000002,1.6409191430479964,0.049080856952003815
0.4624,1.3599999999999999,1.8495999999999997,0.0272,1.8610514023262608,-0.011451402326261073
0.5624,1.5,2.25,0.03,2.2612918737412873,-0.011291873741287262
0.6174,1.56,2.4336,0.031200000000000002,2.4814241330195514,-0.04782413301955124
0.1574,0.79,0.6241000000000001,0.0158,0.6403179645104304,-0.016217964510430338
