trial, small_starting_angle, time (small), length (small), oscillations (small), big_starting_angle, time (big), length (big), oscillations (big)
1,10,16.4,0.6824,10,60,17.7,0.6824,10
2,10,17.5,0.7774,10,60,19.0,0.7774,10
3,10,19.6,0.9524,10,60,21.1,0.9524,10
4,10,10.1,0.2474,10,60,10.7,0.2474,10
5,10,12.3,0.3574,10,60,12.8,0.3574,10
6,10,13.0,0.4074,10,60,13.9,0.4074,10
7,10,13.6,0.4624,10,60,14.7,0.4624,10
8,10,15.0,0.5624,10,60,16.6,0.5624,10
9,10,15.6,0.6174,10,60,17.1,0.6174,10
10,10,7.90,0.1574,10,60,8.5,0.1574,10
