String Type,Mass (kg),Tension (N),Trial 1 Time (ms),Trial 2 Time (ms),Trial 3 Time (ms),Trial 4 Time (ms),Trial 5 Time (ms),Average Time (ms),Average Velocity (d/t) (m/s),String Length (m),Mass per Unit Length (kg/m),Theoretical Velocity (sqrt(T/u)) (m/s)
D-String,1,8.2,10.6,11.6,11.6,11.3,11.7,11.36,73.2,0.877,0.0017,69.5
D-String,2,16.4,8.3,8.4,8.5,8.5,8.4,8.42,98.8,0.877,0.0017,98.2
D-String,3,24.5,6.7,6.8,6.7,6.7,6.5,6.68,124.6,0.877,0.0017,120.0
D-String,4,32.7,5.5,5.5,5.5,5.6,5.6,5.54,150.2,0.877,0.0017,138.7
D-String,5,40.9,4.8,4.8,4.9,4.8,4.8,4.82,172.6,0.877,0.0017,155.1
Low E-String,1,8.2,17.9,17.2,17.3,18.3,18.6,17.86,46.6,0.877,0.0065,35.5
Low E-String,2,16.4,13.1,13.3,14.0,13.7,14.0,13.62,61.1,0.877,0.0065,50.2
Low E-String,3,24.5,11.5,11.2,11.2,10.9,11.0,11.16,74.6,0.877,0.0065,61.4
Low E-String,4,32.7,9.3,10.0,9.7,10.0,9.7,9.74,85.4,0.877,0.0065,70.9
Low E-String,5,40.9,8.8,8.5,8.8,8.4,8.8,8.66,96.1,0.877,0.0065,79.3
