Trial #,volume of water in flask (mL),Resonance Frequency (Hz),Period (s),Room Temp (Celcius),Neck diameter (mm),Hand measured length of neck (mm),Speed of sound at 24.61 Celcius (m/s) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,0,85,1.18E-02,24.61,33.17,140,345.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,50,89,1.12E-02,24.61,33.17,140,345.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,100,90,1.11E-02,24.61,33.17,140,345.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,150,91,1.10E-02,24.61,33.17,140,345.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,200,91.7,1.09E-02,24.61,33.17,140,345.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,250,92.6,1.08E-02,24.61,33.17,140,345.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,300,93.4,1.07E-02,24.61,33.17,140,345.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,350,94.3,1.06E-02,24.61,33.17,140,345.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,400,95.6,1.05E-02,24.61,33.17,140,345.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,450,97.1,1.03E-02,24.61,33.17,140,345.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,500,99,1.01E-02,24.61,33.17,140,345.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,550,99,1.01E-02,24.61,33.17,140,345.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,600,102,9.80E-03,24.61,33.17,140,345.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,650,104,9.62E-03,24.61,33.17,140,345.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,700,107,9.35E-03,24.61,33.17,140,345.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,750,110,9.09E-03,24.61,33.17,140,345.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,800,113,8.85E-03,24.61,33.17,140,345.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,850,115,8.70E-03,24.61,33.17,140,345.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,900,115.5,8.66E-03,24.61,33.17,140,345.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,950,112,8.93E-03,24.61,33.17,140,345.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,1000,116,8.62E-03,24.61,33.17,140,345.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
