Angle_deg,Signal_reading,Notes
-90,0,
-80,0,
-70,0,
-60,0,
-50,0,
-48,0,
-46,0,
-44,0,
-42,0,
-40,0,
-38,0,
-36,0,
-34,0,
-32,0,
-30,0.01,
-28,0.01,
-26,0.02,
-24,0.02,
-22,0.03,
-20,0.04,
-18,0.08,
-16,0.17,
-14,0.30,
-12,0.50,
-10,0.69,
-8,0.84,
-6,0.94,
-4,1.0,
-2,1.0,
0,1.0,calibration reference
2,1.0,
4,1.0,
6,0.94,
8,0.84,
10,0.69,
12,0.50,
14,0.30,
16,0.17,
18,0.08,
20,0.04,
22,0.02,
24,0.02,
26,0.02,
28,0.01,
30,0.01,
32,0,
34,0,
36,0,
38,0,
40,0,
42,0,
44,0,
46,0,
48,0,
50,0,
60,0,
70,0,
80,0,
90,0,
